City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
630,Chabahar,IR,73.65,25.29,60.64,هتل گدروشیا
638,Marawi,PH,82.0,8.0,124.29,Derogongan Residence
641,Kutum,SD,67.24,14.2,24.67,Dibbo areaمنطقة دبو
644,Shingu,JP,66.2,33.73,135.98,Shingu UI Hotel
647,Gizo,SB,84.29,-8.1,156.84,Imagination Island
649,Cairns,AU,84.99,-16.92,145.77,Mantra Trilogy Cairns
651,Mangaldai,IN,78.8,26.43,92.03,Hotel Siddarth Palace
654,Kiunga,PG,84.97,-6.12,141.29,Airport Lodge Kiunga
656,Booue,GA,73.09,-0.09,11.94,
657,Inhambane,MZ,71.74,-23.86,35.38,Oceano
660,Turan,VN,78.8,16.07,108.22,Grand Mercure Danang
661,Olinda,BR,80.6,-8.01,-34.86,Hotel 5 Sóis
662,Kasulu,TZ,66.65,-4.58,30.1,Capital Lodge
664,Lucapa,AO,66.69,-8.42,20.74,Residência Ulisses Dos Santos
667,Mae Hong Son,TH,71.6,19.3,97.97,Baiyoke Chalet Hotel
668,Mlonggo,ID,84.2,-6.53,110.7,Asia Metal Art
670,Quirinopolis,BR,75.69,-18.45,-50.45,Rota Hotéis - Quirinópolis GO
671,Mwene-Ditu,CD,65.55,-7.0,23.45,Hôtel Kamas
672,San Quintin,MX,66.69,30.48,-115.95,Old Mill Hotel
673,Jerantut,MY,74.28,3.94,102.36,Jerantut Hill Resort
674,Luau,AO,67.71,-10.71,22.22,Kimbo Hotel
675,Pemba,MZ,77.49,-12.97,40.52,Guesthouse Samotina
677,Tabou,CI,77.34,4.42,-7.35,hotêl doufoulougou
679,Daru,PG,84.38,-9.08,143.21,New century hotel
680,Half Moon Bay,US,66.2,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
683,Morant Bay,JM,78.8,17.88,-76.41,Whispering Bamboo Cove Resort
684,Olutanga,PH,80.89,7.31,122.85,Morales Lodge
685,Poya,NC,84.0,-21.35,165.15,
690,Alegrete,BR,74.53,-29.78,-55.79,Hotel Alegrete
691,Dwarka,IN,81.19,22.24,68.97,Hotel Narayan Avezika Comfort
